### CricBlast Team Data - By Raofin ###

0. Afghanistan, 6, 3, 3, 129, 62, 63, 89, 60, 28
1. Australia, 835, 394, 226, 958, 581, 334, 153, 79, 69
2. Bangladesh, 126, 15, 94, 388, 136, 245, 123, 43, 78
3. England, 1041, 378, 311, 761, 384, 339, 143, 75, 61
4. India, 557, 165, 171, 996, 518, 428, 153, 95, 51
5. New Zealand, 451, 107, 176, 775, 354, 374, 160, 78, 70
6. Pakistan, 441, 145, 134, 936, 490, 417, 186, 114, 64
7. South Africa, 445, 169, 152, 635, 388, 221, 147, 85, 60
8. Sri Lanka, 299, 95, 113, 867, 393, 431, 148, 67, 77
9. West Indies, 560, 178, 204, 831, 405, 386, 149, 63, 74
